UserId,CommentId,PostId,PostTypeId,Tag,CreationDate
18658,24342921,4,1,c#,2008-09-21T04:09:42.507
18658,24342921,4,1,floating-point,2008-09-21T04:09:42.507
18658,24342921,4,1,type-conversion,2008-09-21T04:09:42.507
18658,24342921,4,1,double,2008-09-21T04:09:42.507
18658,24342921,4,1,decimal,2008-09-21T04:09:42.507
2748412,117303571,4,1,c#,2021-02-24T13:07:37.333
2748412,117303571,4,1,floating-point,2021-02-24T13:07:37.333
2748412,117303571,4,1,type-conversion,2021-02-24T13:07:37.333
2748412,117303571,4,1,double,2021-02-24T13:07:37.333
2748412,117303571,4,1,decimal,2021-02-24T13:07:37.333
42552,119523765,4,1,c#,2021-05-20T13:17:54.800
42552,119523765,4,1,floating-point,2021-05-20T13:17:54.800
42552,119523765,4,1,type-conversion,2021-05-20T13:17:54.800
42552,119523765,4,1,double,2021-05-20T13:17:54.800
42552,119523765,4,1,decimal,2021-05-20T13:17:54.800
63550,129582146,4,1,c#,2022-08-16T15:03:40.723
63550,129582146,4,1,floating-point,2022-08-16T15:03:40.723
63550,129582146,4,1,type-conversion,2022-08-16T15:03:40.723
63550,129582146,4,1,double,2022-08-16T15:03:40.723
63550,129582146,4,1,decimal,2022-08-16T15:03:40.723
2743206,137929248,4,1,c#,2024-03-28T08:05:56.640
2743206,137929248,4,1,floating-point,2024-03-28T08:05:56.640
2743206,137929248,4,1,type-conversion,2024-03-28T08:05:56.640
2743206,137929248,4,1,double,2024-03-28T08:05:56.640
2743206,137929248,4,1,decimal,2024-03-28T08:05:56.640
184025,7043687,9,1,c#,2011-05-21T07:34:10.397
184025,7043687,9,1,.net,2011-05-21T07:34:10.397
184025,7043687,9,1,datetime,2011-05-21T07:34:10.397
155077,9270342,9,1,c#,2011-10-03T10:20:32.650
155077,9270342,9,1,.net,2011-10-03T10:20:32.650
155077,9270342,9,1,datetime,2011-10-03T10:20:32.650
171950,28407717,9,1,c#,2013-10-05T13:32:13.767
171950,28407717,9,1,.net,2013-10-05T13:32:13.767
171950,28407717,9,1,datetime,2013-10-05T13:32:13.767
2458438,50688884,9,1,c#,2015-07-11T03:42:39.013
2458438,50688884,9,1,.net,2015-07-11T03:42:39.013
2458438,50688884,9,1,datetime,2015-07-11T03:42:39.013
1115360,81414526,9,1,c#,2017-11-10T22:09:51.280
1115360,81414526,9,1,.net,2017-11-10T22:09:51.280
1115360,81414526,9,1,datetime,2017-11-10T22:09:51.280
1000939,113834756,9,1,c#,2020-10-15T16:27:08.077
1000939,113834756,9,1,.net,2020-10-15T16:27:08.077
1000939,113834756,9,1,datetime,2020-10-15T16:27:08.077
8224113,116203683,9,1,c#,2021-01-14T17:03:02.857
8224113,116203683,9,1,.net,2021-01-14T17:03:02.857
8224113,116203683,9,1,datetime,2021-01-14T17:03:02.857
42552,117120698,9,1,c#,2021-02-17T16:56:02.500
42552,117120698,9,1,.net,2021-02-17T16:56:02.500
42552,117120698,9,1,datetime,2021-02-17T16:56:02.500
42552,118621824,9,1,c#,2021-04-15T13:37:17.527
42552,118621824,9,1,.net,2021-04-15T13:37:17.527
42552,118621824,9,1,datetime,2021-04-15T13:37:17.527
8261867,122518629,9,1,c#,2021-09-24T16:43:32.720
8261867,122518629,9,1,.net,2021-09-24T16:43:32.720
8261867,122518629,9,1,datetime,2021-09-24T16:43:32.720
1563833,134926702,9,1,c#,2023-06-21T15:14:15.560
1563833,134926702,9,1,.net,2023-06-21T15:14:15.560
1563833,134926702,9,1,datetime,2023-06-21T15:14:15.560
76832,501111,11,1,c#,2009-03-26T20:42:53.700
76832,501111,11,1,datetime,2009-03-26T20:42:53.700
76832,501111,11,1,time,2009-03-26T20:42:53.700
76832,501111,11,1,datediff,2009-03-26T20:42:53.700
76832,501111,11,1,relative-time-span,2009-03-26T20:42:53.700
666835,37912017,11,1,c#,2014-06-30T13:26:43.820
666835,37912017,11,1,datetime,2014-06-30T13:26:43.820
666835,37912017,11,1,time,2014-06-30T13:26:43.820
666835,37912017,11,1,datediff,2014-06-30T13:26:43.820
666835,37912017,11,1,relative-time-span,2014-06-30T13:26:43.820
459102,105662939,11,1,c#,2020-01-15T19:44:15.400
459102,105662939,11,1,datetime,2020-01-15T19:44:15.400
459102,105662939,11,1,time,2020-01-15T19:44:15.400
459102,105662939,11,1,datediff,2020-01-15T19:44:15.400
459102,105662939,11,1,relative-time-span,2020-01-15T19:44:15.400
23082833,137169632,11,1,c#,2024-01-12T16:48:49.533
23082833,137169632,11,1,datetime,2024-01-12T16:48:49.533
23082833,137169632,11,1,time,2024-01-12T16:48:49.533
23082833,137169632,11,1,datediff,2024-01-12T16:48:49.533
23082833,137169632,11,1,relative-time-span,2024-01-12T16:48:49.533
13087,316584,12,2,c#,2009-02-01T19:33:54.970
13087,316584,12,2,datetime,2009-02-01T19:33:54.970
13087,316584,12,2,time,2009-02-01T19:33:54.970
13087,316584,12,2,datediff,2009-02-01T19:33:54.970
13087,316584,12,2,relative-time-span,2009-02-01T19:33:54.970
76859,788927,12,2,c#,2009-06-11T12:50:23.760
76859,788927,12,2,datetime,2009-06-11T12:50:23.760
76859,788927,12,2,time,2009-06-11T12:50:23.760
76859,788927,12,2,datediff,2009-06-11T12:50:23.760
76859,788927,12,2,relative-time-span,2009-06-11T12:50:23.760
190168,4464595,12,2,c#,2010-11-09T23:38:21.200
190168,4464595,12,2,datetime,2010-11-09T23:38:21.200
190168,4464595,12,2,time,2010-11-09T23:38:21.200
190168,4464595,12,2,datediff,2010-11-09T23:38:21.200
190168,4464595,12,2,relative-time-span,2010-11-09T23:38:21.200
600500,8682751,12,2,c#,2011-08-28T18:46:47.613
600500,8682751,12,2,datetime,2011-08-28T18:46:47.613
600500,8682751,12,2,time,2011-08-28T18:46:47.613
600500,8682751,12,2,datediff,2011-08-28T18:46:47.613
600500,8682751,12,2,relative-time-span,2011-08-28T18:46:47.613
571203,11424830,12,2,c#,2012-02-01T13:42:59.723
571203,11424830,12,2,datetime,2012-02-01T13:42:59.723
571203,11424830,12,2,time,2012-02-01T13:42:59.723
571203,11424830,12,2,datediff,2012-02-01T13:42:59.723
571203,11424830,12,2,relative-time-span,2012-02-01T13:42:59.723
984378,15269958,12,2,c#,2012-07-18T17:48:53.773
984378,15269958,12,2,datetime,2012-07-18T17:48:53.773
984378,15269958,12,2,time,2012-07-18T17:48:53.773
984378,15269958,12,2,datediff,2012-07-18T17:48:53.773
984378,15269958,12,2,relative-time-span,2012-07-18T17:48:53.773
314230,24923018,12,2,c#,2013-06-20T05:53:14.297
314230,24923018,12,2,datetime,2013-06-20T05:53:14.297
314230,24923018,12,2,time,2013-06-20T05:53:14.297
314230,24923018,12,2,datediff,2013-06-20T05:53:14.297
314230,24923018,12,2,relative-time-span,2013-06-20T05:53:14.297
278044,26028296,12,2,c#,2013-07-24T11:51:14.553
278044,26028296,12,2,datetime,2013-07-24T11:51:14.553
278044,26028296,12,2,time,2013-07-24T11:51:14.553
278044,26028296,12,2,datediff,2013-07-24T11:51:14.553
278044,26028296,12,2,relative-time-span,2013-07-24T11:51:14.553
1426095,31546493,12,2,c#,2014-01-08T10:59:47.590
1426095,31546493,12,2,datetime,2014-01-08T10:59:47.590
1426095,31546493,12,2,time,2014-01-08T10:59:47.590
1426095,31546493,12,2,datediff,2014-01-08T10:59:47.590
1426095,31546493,12,2,relative-time-span,2014-01-08T10:59:47.590
2052655,87002751,12,2,c#,2018-04-24T04:01:31.027
2052655,87002751,12,2,datetime,2018-04-24T04:01:31.027
2052655,87002751,12,2,time,2018-04-24T04:01:31.027
2052655,87002751,12,2,datediff,2018-04-24T04:01:31.027
2052655,87002751,12,2,relative-time-span,2018-04-24T04:01:31.027
26682,21790487,13,1,html,2008-12-02T00:51:27.623
26682,21790487,13,1,browser,2008-12-02T00:51:27.623
26682,21790487,13,1,timezone,2008-12-02T00:51:27.623
26682,21790487,13,1,user-agent,2008-12-02T00:51:27.623
26682,21790487,13,1,timezone-offset,2008-12-02T00:51:27.623
254896,21790488,13,1,html,2010-11-11T08:48:18.233
254896,21790488,13,1,browser,2010-11-11T08:48:18.233
254896,21790488,13,1,timezone,2010-11-11T08:48:18.233
254896,21790488,13,1,user-agent,2010-11-11T08:48:18.233
254896,21790488,13,1,timezone-offset,2010-11-11T08:48:18.233
218196,34441725,13,1,html,2014-03-24T18:50:27.720
218196,34441725,13,1,browser,2014-03-24T18:50:27.720
218196,34441725,13,1,timezone,2014-03-24T18:50:27.720
218196,34441725,13,1,user-agent,2014-03-24T18:50:27.720
218196,34441725,13,1,timezone-offset,2014-03-24T18:50:27.720
768392,34442067,13,1,html,2014-03-24T19:00:52.153
768392,34442067,13,1,browser,2014-03-24T19:00:52.153
768392,34442067,13,1,timezone,2014-03-24T19:00:52.153
768392,34442067,13,1,user-agent,2014-03-24T19:00:52.153
768392,34442067,13,1,timezone-offset,2014-03-24T19:00:52.153
218196,34449546,13,1,html,2014-03-24T23:10:03.940
218196,34449546,13,1,browser,2014-03-24T23:10:03.940
218196,34449546,13,1,timezone,2014-03-24T23:10:03.940
218196,34449546,13,1,user-agent,2014-03-24T23:10:03.940
218196,34449546,13,1,timezone-offset,2014-03-24T23:10:03.940
300224,91918592,13,1,html,2018-09-24T23:41:50.197
300224,91918592,13,1,browser,2018-09-24T23:41:50.197
300224,91918592,13,1,timezone,2018-09-24T23:41:50.197
300224,91918592,13,1,user-agent,2018-09-24T23:41:50.197
300224,91918592,13,1,timezone-offset,2018-09-24T23:41:50.197
792066,92267183,13,1,html,2018-10-05T15:15:49.520
792066,92267183,13,1,browser,2018-10-05T15:15:49.520
792066,92267183,13,1,timezone,2018-10-05T15:15:49.520
792066,92267183,13,1,user-agent,2018-10-05T15:15:49.520
792066,92267183,13,1,timezone-offset,2018-10-05T15:15:49.520
46,92391638,13,1,html,2008-08-04T11:11:14.230
46,92391638,13,1,browser,2008-08-04T11:11:14.230
46,92391638,13,1,timezone,2008-08-04T11:11:14.230
46,92391638,13,1,user-agent,2008-08-04T11:11:14.230
46,92391638,13,1,timezone-offset,2008-08-04T11:11:14.230
272733,96337116,13,1,html,2019-02-20T04:53:52.247
272733,96337116,13,1,browser,2019-02-20T04:53:52.247
272733,96337116,13,1,timezone,2019-02-20T04:53:52.247
272733,96337116,13,1,user-agent,2019-02-20T04:53:52.247
272733,96337116,13,1,timezone-offset,2019-02-20T04:53:52.247
314320,124168740,13,1,html,2021-12-06T07:21:34.693
314320,124168740,13,1,browser,2021-12-06T07:21:34.693
314320,124168740,13,1,timezone,2021-12-06T07:21:34.693
314320,124168740,13,1,user-agent,2021-12-06T07:21:34.693
314320,124168740,13,1,timezone-offset,2021-12-06T07:21:34.693
153557,13776919,14,1,.net,2011-12-14T10:49:36.163
153557,13776919,14,1,math,2011-12-14T10:49:36.163
575376,83696236,17,1,mysql,2018-01-20T10:10:26.267
575376,83696236,17,1,database,2018-01-20T10:10:26.267
575376,83696236,17,1,binary-data,2018-01-20T10:10:26.267
575376,83696236,17,1,data-storage,2018-01-20T10:10:26.267
623041,83699941,17,1,mysql,2018-01-20T13:31:47.550
623041,83699941,17,1,database,2018-01-20T13:31:47.550
623041,83699941,17,1,binary-data,2018-01-20T13:31:47.550
623041,83699941,17,1,data-storage,2018-01-20T13:31:47.550
null,113884325,17,1,mysql,2020-10-17T16:07:29.673
null,113884325,17,1,database,2020-10-17T16:07:29.673
null,113884325,17,1,binary-data,2020-10-17T16:07:29.673
null,113884325,17,1,data-storage,2020-10-17T16:07:29.673
2859,4428,18,2,mysql,2008-09-14T14:21:17.893
2859,4428,18,2,database,2008-09-14T14:21:17.893
2859,4428,18,2,binary-data,2008-09-14T14:21:17.893
2859,4428,18,2,data-storage,2008-09-14T14:21:17.893
47529,225387,18,2,mysql,2008-12-30T06:28:21.717
47529,225387,18,2,database,2008-12-30T06:28:21.717
47529,225387,18,2,binary-data,2008-12-30T06:28:21.717
47529,225387,18,2,data-storage,2008-12-30T06:28:21.717
47161,1863980,19,1,performance,2009-12-23T12:09:51.023
47161,1863980,19,1,algorithm,2009-12-23T12:09:51.023
47161,1863980,19,1,language-agnostic,2009-12-23T12:09:51.023
47161,1863980,19,1,unix,2009-12-23T12:09:51.023
47161,1863980,19,1,pi,2009-12-23T12:09:51.023
13,1866931,19,1,performance,2009-12-23T19:43:34.377
13,1866931,19,1,algorithm,2009-12-23T19:43:34.377
13,1866931,19,1,language-agnostic,2009-12-23T19:43:34.377
13,1866931,19,1,unix,2009-12-23T19:43:34.377
13,1866931,19,1,pi,2009-12-23T19:43:34.377
677684,9679758,19,1,performance,2011-10-28T00:58:24.770
677684,9679758,19,1,algorithm,2011-10-28T00:58:24.770
677684,9679758,19,1,language-agnostic,2011-10-28T00:58:24.770
677684,9679758,19,1,unix,2011-10-28T00:58:24.770
677684,9679758,19,1,pi,2011-10-28T00:58:24.770
185881,19110117,19,1,performance,2012-12-14T09:04:47.637
185881,19110117,19,1,algorithm,2012-12-14T09:04:47.637
185881,19110117,19,1,language-agnostic,2012-12-14T09:04:47.637
185881,19110117,19,1,unix,2012-12-14T09:04:47.637
185881,19110117,19,1,pi,2012-12-14T09:04:47.637
2038288,38239295,19,1,performance,2014-07-10T00:07:54.687
2038288,38239295,19,1,algorithm,2014-07-10T00:07:54.687
2038288,38239295,19,1,language-agnostic,2014-07-10T00:07:54.687
2038288,38239295,19,1,unix,2014-07-10T00:07:54.687
2038288,38239295,19,1,pi,2014-07-10T00:07:54.687
13,38261271,19,1,performance,2014-07-10T13:26:27.753
13,38261271,19,1,algorithm,2014-07-10T13:26:27.753
13,38261271,19,1,language-agnostic,2014-07-10T13:26:27.753
13,38261271,19,1,unix,2014-07-10T13:26:27.753
13,38261271,19,1,pi,2014-07-10T13:26:27.753
13,38280059,19,1,performance,2014-07-10T22:52:32.780
13,38280059,19,1,algorithm,2014-07-10T22:52:32.780
13,38280059,19,1,language-agnostic,2014-07-10T22:52:32.780
13,38280059,19,1,unix,2014-07-10T22:52:32.780
13,38280059,19,1,pi,2014-07-10T22:52:32.780
13,38770627,19,1,performance,2014-07-25T01:45:53.140
13,38770627,19,1,algorithm,2014-07-25T01:45:53.140
13,38770627,19,1,language-agnostic,2014-07-25T01:45:53.140
13,38770627,19,1,unix,2014-07-25T01:45:53.140
13,38770627,19,1,pi,2014-07-25T01:45:53.140
13,48126040,19,1,performance,2015-05-02T15:04:02.643
13,48126040,19,1,algorithm,2015-05-02T15:04:02.643
13,48126040,19,1,language-agnostic,2015-05-02T15:04:02.643
13,48126040,19,1,unix,2015-05-02T15:04:02.643
13,48126040,19,1,pi,2015-05-02T15:04:02.643
null,55772891,19,1,performance,2015-11-30T21:39:06.807
null,55772891,19,1,algorithm,2015-11-30T21:39:06.807
null,55772891,19,1,language-agnostic,2015-11-30T21:39:06.807
null,55772891,19,1,unix,2015-11-30T21:39:06.807
null,55772891,19,1,pi,2015-11-30T21:39:06.807
574872,62903184,19,1,performance,2016-06-08T23:56:46.690
574872,62903184,19,1,algorithm,2016-06-08T23:56:46.690
574872,62903184,19,1,language-agnostic,2016-06-08T23:56:46.690
574872,62903184,19,1,unix,2016-06-08T23:56:46.690
574872,62903184,19,1,pi,2016-06-08T23:56:46.690
13,62903211,19,1,performance,2016-06-08T23:58:05.303
13,62903211,19,1,algorithm,2016-06-08T23:58:05.303
13,62903211,19,1,language-agnostic,2016-06-08T23:58:05.303
13,62903211,19,1,unix,2016-06-08T23:58:05.303
13,62903211,19,1,pi,2016-06-08T23:58:05.303
574872,62903287,19,1,performance,2016-06-09T00:02:14.520
574872,62903287,19,1,algorithm,2016-06-09T00:02:14.520
574872,62903287,19,1,language-agnostic,2016-06-09T00:02:14.520
574872,62903287,19,1,unix,2016-06-09T00:02:14.520
574872,62903287,19,1,pi,2016-06-09T00:02:14.520
43981,106755107,19,1,performance,2009-01-12T18:46:22.357
43981,106755107,19,1,algorithm,2009-01-12T18:46:22.357
43981,106755107,19,1,language-agnostic,2009-01-12T18:46:22.357
43981,106755107,19,1,unix,2009-01-12T18:46:22.357
43981,106755107,19,1,pi,2009-01-12T18:46:22.357
75594,106759819,19,1,performance,2010-01-06T12:41:03.790
75594,106759819,19,1,algorithm,2010-01-06T12:41:03.790
75594,106759819,19,1,language-agnostic,2010-01-06T12:41:03.790
75594,106759819,19,1,unix,2010-01-06T12:41:03.790
75594,106759819,19,1,pi,2010-01-06T12:41:03.790
13,106759820,19,1,performance,2010-01-06T15:06:04.270
13,106759820,19,1,algorithm,2010-01-06T15:06:04.270
13,106759820,19,1,language-agnostic,2010-01-06T15:06:04.270
13,106759820,19,1,unix,2010-01-06T15:06:04.270
13,106759820,19,1,pi,2010-01-06T15:06:04.270
null,113887458,19,1,performance,2020-10-17T19:10:01.807
null,113887458,19,1,algorithm,2020-10-17T19:10:01.807
null,113887458,19,1,language-agnostic,2020-10-17T19:10:01.807
null,113887458,19,1,unix,2020-10-17T19:10:01.807
null,113887458,19,1,pi,2020-10-17T19:10:01.807
5739443,122061313,22,2,c#,2021-09-05T12:42:22.347
5739443,122061313,22,2,.net,2021-09-05T12:42:22.347
5739443,122061313,22,2,datetime,2021-09-05T12:42:22.347
13611174,121222108,25,1,c++,2021-07-30T14:37:36.790
13611174,121222108,25,1,c,2021-07-30T14:37:36.790
13611174,121222108,25,1,sockets,2021-07-30T14:37:36.790
13611174,121222108,25,1,mainframe,2021-07-30T14:37:36.790
13611174,121222108,25,1,zos,2021-07-30T14:37:36.790
184546,58680185,29,2,html,2016-02-18T22:32:47.500
